time,category,count
2022-02-01 21:00:00,very,52
2022-02-04 08:00:00,20,147
2022-02-04 09:00:00,Big,98
2022-02-01 21:00:00,we're,14
2022-02-04 13:00:00,Thank,283
2022-02-01 21:00:00,well,38
2022-02-04 12:00:00,change,97
2022-02-04 14:00:00,",",296
2022-02-04 09:00:00,all,1598
2022-02-04 12:00:00,COUNT=722,110
2022-02-04 06:00:00,--,74
2022-02-01 21:00:00,@NICKIMINAJ,1
2022-02-01 20:00:00,point,56
2022-02-04 13:00:00,2,649
2022-02-04 10:00:00,Have,144
2022-02-04 15:00:00,@ENHYPEN_members,44
2022-02-01 20:00:00,I’m,310
2022-02-04 05:00:00,bitch,6
2022-02-04 07:00:00,COUNT=910,83
2022-02-04 17:00:00,COUNT=13,2653
2022-02-04 13:00:00,COUNT=15,2472
2022-02-04 09:00:00,COUNT=30,1352
2022-02-04 13:00:00,COUNT=78,679
2022-02-04 14:00:00,COUNT=891,131
2022-02-04 11:00:00,COUNT=891,161
2022-02-04 11:00:00,COUNT=246,231
2022-02-04 17:00:00,COUNT=216,115
2022-02-04 18:00:00,COUNT=50,546
2022-02-04 13:00:00,still,484
2022-02-04 11:00:00,COUNT=32,1368
2022-02-04 05:00:00,COUNT=27,138
2022-02-04 16:00:00,COUNT=194,232
2022-02-04 12:00:00,COUNT=94,723
2022-02-04 09:00:00,COUNT=72,796
2022-02-04 16:00:00,COUNT=72,638
2022-02-01 20:00:00,COUNT=81,394
2022-02-04 17:00:00,COUNT=466,96
2022-02-01 21:00:00,COUNT=25,180
2022-02-04 11:00:00,COUNT=262,274
2022-02-04 14:00:00,COUNT=189,277
2022-02-01 21:00:00,COUNT=271,11
2022-02-04 05:00:00,COUNT=365,22
2022-02-04 18:00:00,COUNT=141,319
2022-02-04 06:00:00,COUNT=123,483
2022-02-04 15:00:00,COUNT=544,218
2022-02-04 11:00:00,COUNT=143,382
2022-02-04 11:00:00,COUNT=397,92
2022-02-04 10:00:00,COUNT=273,207
2022-02-04 14:00:00,COUNT=277,238
2022-02-04 17:00:00,COUNT=405,65
2022-02-04 18:00:00,COUNT=331,104
2022-02-01 21:00:00,COUNT=550,16
2022-02-04 06:00:00,COUNT=129,417
2022-02-04 10:00:00,COUNT=324,256
2022-02-04 08:00:00,COUNT=324,255
2022-02-04 14:00:00,COUNT=213,432
2022-02-04 16:00:00,COUNT=456,261
2022-02-04 12:00:00,COUNT=253,128
2022-02-01 20:00:00,COUNT=845,302
2022-02-01 20:00:00,COUNT=403,148
2022-02-01 21:00:00,COUNT=430,15
2022-02-01 20:00:00,will,1186
2022-02-04 15:00:00,COUNT=540,171
2022-02-01 20:00:00,by,988
2022-02-04 09:00:00,COUNT=348,256
2022-02-04 07:00:00,COUNT=348,154
2022-02-04 13:00:00,everything,188
2022-02-04 17:00:00,power,66
2022-02-04 15:00:00,COUNT=382,50
2022-02-04 07:00:00,COUNT=462,228
2022-02-01 20:00:00,thanks,42
2022-02-04 16:00:00,forget,83
2022-02-04 18:00:00,COUNT=263,115
2022-02-04 13:00:00,COUNT=267,208
2022-02-04 11:00:00,COUNT=635,135
2022-02-01 20:00:00,COUNT=505,76
2022-02-01 21:00:00,COUNT=581,24
2022-02-04 15:00:00,COUNT=294,197
2022-02-04 10:00:00,WE,71
2022-02-04 16:00:00,WE,81
2022-02-04 05:00:00,#BTS,2
2022-02-04 12:00:00,COUNT=844,58
2022-02-04 12:00:00,COUNT=208,192
2022-02-04 05:00:00,can't,21
2022-02-04 18:00:00,COUNT=959,142
2022-02-04 12:00:00,become,99
2022-02-04 05:00:00,with,316
2022-02-04 10:00:00,group,96
2022-02-01 21:00:00,had,52
2022-02-04 18:00:00,COUNT=988,109
2022-02-04 17:00:00,COUNT=551,48
2022-02-04 08:00:00,.,474
2022-02-01 20:00:00,cause,55
2022-02-04 17:00:00,COUNT=525,190
2022-02-04 06:00:00,Love,239
2022-02-04 06:00:00,COUNT=651,48
2022-02-04 08:00:00,WL,236
2022-02-04 17:00:00,WL,246
2022-02-04 11:00:00,wants,135
2022-02-04 16:00:00,Friday,132
